 input file is 
10um-10nm-1000F.inp           
 input file comments follow:
*****************************************************
10um host, 100nm rim, 10nm Fe x 1000 FIXED
*****************************************************
 number of processors:
  11
 input parameters for run number 
    1
 number of spheres, volume size parameter:
 1002  0.45777E+02
 position file:
                                                            
 output file:
dat/700nm.dat                                               
 length, ref. indx. scale factors:
   0.009   1.000   1.000
 chiral factors:
  0.00000E+00  0.00000E+00
 scattering matrix directions based on incident frame
 automatic scattering angle calculation
 thetamin, thetamax:
      0.0    180.0
 phimin, phimax:
      0.0      0.0
 number scattering angles:
      181
 epsmie, epssoln, max number iterations:
  0.1000E-05  0.1000E-07 5000
 medium refractive index:
  1.0000  0.0000
 target euler rotation angles:
    0.0000    0.0000    0.0000
 far field kr, iterations/correction:
  0.1000E+09   20
 plane wave incidence
 fixed orientation calculations
 incident azimuth and polar angles:
     0.000     0.000
 common expansion epsilon:
  0.1000E-05
 scattering coefficients calculated, stored in file 
sc/700nm.sc.dat                                             
 calculation results for run 
    1
 sphere host   ka     x-x(host) y-y(host) z-z(host)  Re(m)     Im(m)      Qext         Qsca        Qabs         Qabs(V)
    1    2   44.8799    0.0000    0.0000    0.0000  1.736966  0.061378  0.00000E+00  0.90388E+00  0.88774E+00  0.88774E+00
    2    0   45.7775    0.0000    0.0000    0.0000  2.117961  0.000000  0.21454E+01  0.12921E+01  0.85331E+00 -0.64721E-06
    3    2    0.0449  -31.0282   31.9623    7.7880  3.428230  3.399010  0.00000E+00  0.88742E-05  0.87016E-02  0.87016E-02
    4    2    0.0449  -43.9975   -0.9331  -11.0984  3.428230  3.399010  0.00000E+00  0.47232E-04  0.46338E-01  0.46338E-01
    5    2    0.0449   38.8631  -14.2239  -18.9578  3.428230  3.399010  0.00000E+00  0.67316E-04  0.66086E-01  0.66086E-01
    6    2    0.0449    5.5481   14.1920  -42.6927  3.428230  3.399010  0.00000E+00  0.15238E-03  0.14950E+00  0.14950E+00
    7    2    0.0449  -18.0144   41.0470   -7.7865  3.428230  3.399010  0.00000E+00  0.35339E-04  0.34682E-01  0.34682E-01
    8    2    0.0449    5.0552   42.9973   13.0076  3.428230  3.399010  0.00000E+00  0.44972E-05  0.44091E-02  0.44091E-02
    9    2    0.0449   21.7636  -37.5744   12.1970  3.428230  3.399010  0.00000E+00  0.51702E-05  0.50700E-02  0.50700E-02
   10    2    0.0449   27.6019   -2.9501   35.4828  3.428230  3.399010  0.00000E+00  0.94262E-07  0.92291E-04  0.92291E-04
